latitude,longitude,country,province,city,street_address,postal_code
42.29243789,-71.13576525,United States,Massachusetts,Boston,"Ardale St, Boston, MA 02131, United States",2131
49.23900278,-123.1809587,Canada,British Colombia,Vancouver,"West 37th Avenue, Vancouver, BC V6N 2V6, Canada",V6N 2V6
45.51865769,-73.61271299,Canada,Quebec,Montreal,"Avenue Lajoie, Montreal, Quebec H2V, Canada",H2V
42.28967076,-71.13728641,United States,Massachusetts,Boston,"Fletcher Street, Boston, MA 02131, United States",2131
42.27440801,-71.12529404,United States,Massachusetts,Boston,"Doncaster Street, Boston, MA 02131, United States",2131
49.25436097,-123.1881801,Canada,British Colombia,Vancouver,"West 19th Avenue, Vancouver, BC V6S 1C8, Canada",V6S 1C8
45.51719041,-73.61798789,Canada,Quebec,Outremont,"Avenue Davaar, Outremont, QC H2V 1G4, Canada",H2V 1G4
42.28052813,-71.13084254,United States,Massachusetts,Boston,"Augustus Ave, Boston, MA 02131, United States",2131
42.28145207,-71.12925004,United States,Massachusetts,Boston,"Augustus Ave, Boston, MA 02131, United States",2131
45.52016348,-73.601197,Canada,Quebec,Montreal,"Av du Parc, Montreal, Quebec H2V 4G8, Canada",H2V 4G8
42.29353492,-71.12071325,United States,Massachusetts,Boston,"Washington Street, Boston, MA 02131, United States",2131
43.76815432,-79.49742759,Canada,Ontario,Toronto,"Cook Road, Toronto, ON M3J 3T1, Canada",M3J 3T1
43.76733331,-79.49898266,Canada,Ontario,Toronto,"Cook Rd, Toronto, Ontario M3J 3T1, Canada",M3J 3T1
43.76842017,-79.49786366,Canada,Ontario,Toronto,"Cook Road, Toronto, ON M3J 3T1, Canada",M3J 3T1
45.52076029,-73.61280806,Canada,Quebec,Montreal,"Avenue Outremont, Montreal, QC, Canada",H2V 3S3
49.24166865,-123.1702829,Canada,British Colombia,Vancouver,"West 34th Avenue, Vancouver, BC V6N 2J7, Canada",V6N 2J7
45.52370965,-73.61295668,Canada,Quebec,Montreal,"Avenue Bloomfield, Montreal, Quebec H2V 3S4, Canada",H2V 3S4
42.28624082,-71.13437396,United States,Massachusetts,Boston,"Pinehurst Street, Boston, MA 02131, United States",2131
45.51822446,-73.59651255,Canada,Quebec,Outremont,"Avenue Laurier Ouest, Outremont, QC H2V 2K8, Canada",H2V 2K8
45.52014105,-73.61294962,Canada,Quebec,Outremont,"Avenue Champagneur, Outremont, QC H2V 1P1, Canada",H2V 1P1
42.28174852,-71.14031784,United States,Massachusetts,Boston,"Cornell Street, Boston, MA 02131, United States",2131
45.5233746,-73.61176826,Canada,Quebec,Montreal,"Avenue de l'Épée, Montreal, Quebec H2V 3T9, Canada",H2V 3T9
49.23201075,-123.2081002,Canada,British Colombia,Vancouver,"Sennok Crescent, Vancouver, BC V6N 2E3, Canada",V6N 2E3
45.52362324,-73.60806887,Canada,Quebec,Montreal,"Avenue du Parc, Montreal, Quebec H2V 4H4, Canada",H2V 4H4
45.52014033,-73.61552032,Canada,Quebec,Montreal,"Avenue Wiseman, Montreal, QC H2V 1E8, Canada",H2V 1E8
42.28587764,-71.12490956,United States,Massachusetts,Roslindale,"Sycamore St, Roslindale, MA 02131, United States",2131
49.24555376,-123.1822256,Canada,British Colombia,Vancouver,"West 30th Avenue, Vancouver, BC V6S 1W3, Canada",V6S 1W3
42.29151999,-71.13185777,United States,Massachusetts,Roslindale,"Ashfield Street, Roslindale, MA 02131, United States",2131
45.52100088,-73.61349289,Canada,Quebec,Montreal,"Avenue Champagneur, Montreal, Quebec H2V 3P8, Canada",H2V 3P8
49.25112912,-123.183859,Canada,British Colombia,Vancouver,"West King Edward Avenue, Vancouver, BC V6S 1M4, Canada",V6S 1M4
43.74945437,-79.50487934,Canada,Ontario,Toronto,"Grandravine Drive, Toronto, ON M3N 1J2, Canada",M3N 1J2
49.25517354,-123.185493,Canada,British Colombia,Vancouver,"Dunbar Street, Vancouver, BC V6S, Canada",V6S
49.22759605,-123.1899542,Canada,British Columbia,Vancouver,"W 50th Ave, Vancouver, British Columbia V6N 3V4, Canada",V6N 3V4
49.25687762,-123.1799926,Canada,British Colombia,Vancouver,"Blenheim Street, Vancouver, BC V6L 2X8, Canada",V6L 2X8
49.23467615,-123.1866925,Canada,British Colombia,Vancouver,"Dunbar Street, Vancouver, BC V6N 1W5, Canada",V6N 1W5
42.28214228,-71.12904915,United States,Massachusetts,"Roslindale, Boston","Kittredge St, Roslindale, Boston, MA 02131, United States",2131
49.24573042,-123.1894273,Canada,British Colombia,Vancouver,"West 29th Avenue, Vancouver, BC V6S 1T6, Canada",V6S 1T6
43.76396038,-79.49695416,Canada,Ontario,Toronto,"Four Winds Drive, Toronto, ON M3J 1K8, Canada",M3J 1K8
45.51637477,-73.59207938,Canada,Quebec,Montreal,"Chemin de la Côte-Sainte-Catherine, Montreal, Quebec H2V, Canada",H2V
49.24078143,-123.1838027,Canada,British Colombia,Vancouver,"West 34th Avenue, Vancouver, BC V6N 2K8, Canada",V6N 2K8
49.25779043,-123.2001776,Canada,British Colombia,Vancouver,"West 15th Avenue, Vancouver, BC V6R 3A6, Canada",V6R 3A6
42.27571563,-71.13013943,United States,Massachusetts,Roslindale,"Glendower Road, Roslindale, MA 02131, United States",2131
45.5225194,-73.60901996,Canada,Quebec,Montreal,"A Avenue Bloomfield, Montreal, Quebec H2V 3S4, Canada",H2V 3S4
42.28556003,-71.1239987,United States,Massachusetts,Roslindale,"Hyde Park Avenue, Roslindale, MA 02131, United States",2131
42.28194183,-71.1333719,United States,Massachusetts,Boston,"Durnell Avenue, Boston, MA 02131, United States",2131
42.28208581,-71.13334868,United States,Massachusetts,Boston,"Durnell Avenue, Boston, MA 02131, United States",2131
43.76913512,-79.504392,Canada,Ontario,Toronto,"York University, 340 Assiniboine Road, Toronto, ON M3J 1L2, Canada",M3J 1L2
49.23616649,-123.1789642,Canada,British Colombia,Vancouver,"Blenheim Street, Vancouver, BC V6N 1P5, Canada",V6N 1P5
45.51928585,-73.60962038,Canada,Quebec,Montreal,"Avenue Champagneur, Montreal, QC H2V 3P4, Canada",H2V 3P4
45.52032585,-73.60906547,Canada,Quebec,Montreal,"Avenue Champagneur, Montreal, Quebec H2V 3P4, Canada",H2V 3P4
42.28626474,-71.13706513,United States,Massachusetts,Boston,"Tyndale Street, Boston, MA 02131, United States",2131
42.28997231,-71.13614632,United States,Massachusetts,Boston,"Fletcher Street, Boston, MA 02131, United States",2131
43.76761069,-79.5031049,Canada,Ontario,Toronto,"Assiniboine Road, Toronto, ON M3J 1L4, Canada",M3J 1L4
