userID,raterID,rating,rated_on
23904087,1854872,,
23904087,3527628,,
23904087,6570877,3,
23904087,9658771,,
23904087,13281477,4,
23904087,15396970,4,
23904087,24122606,3,
23904087,24346665,,
23904087,24346665,5,
23904087,30753730,,
23904087,37844039,4,
24122606,3502134,3,
24122606,5162168,4,
24122606,5340640,,
24122606,7465731,4,
24122606,9556722,5,
24122606,14589681,4,
24122606,15472064,5,
24122606,22760672,3,
24122606,24345657,4,
24122606,24346665,,
24122606,24346665,,
24122606,30753730,,
24122606,34552909,,
24345657,2001148,,
24345657,7134807,,
24345657,10635352,,
24345657,13226301,,
24345657,24346665,4,
24345657,27751962,5,
24345657,30753730,4,
24345657,37253135,3,
24345657,38573316,3,
29603052,16701,3,
29603052,3649315,5,
29603052,8834105,4,
29603052,11883405,4,
30753730,19916,4,
30753730,702188,5,
30753730,734359,3,
30753730,9556722,3,
33212966,1176995,4,
33212966,10021116,4,
33212966,13226301,5,
34470961,1176995,3,
34552909,1890533,,
34552909,7078248,,
34552909,13682119,,
36141263,110792,5,
36141263,7155869,3,
36141263,7324823,,
36141263,15472709,5,
37193227,1480518,4,
37193227,2572247,5,
37193227,2619674,3,
37193227,7506913,5,
37193227,24558497,3,
37193227,29335268,3,
37253135,2673521,4,
37253135,3164508,5,
37253135,6404004,5,
37253135,8323794,5,
37253135,24346665,4,
37253135,29603052,4,
37253135,36141263,3,
37844039,333210,3,
37844039,431385,4,
37844039,1854872,5,
37844039,3945222,3,
37844039,8491165,3,
37844039,12571995,3,
37844039,33212966,4,
38573316,3962517,5,
38573316,5422969,3,
38573316,8834105,5,
38573316,23904087,3,
38855266,4120058,4,
44625108,4653380,4,
46037158,1854872,5,
46037158,5164882,4,
52992470,6336753,3,
52992470,11883405,5,
